Title,Link,Description,Date
"Boris Johnson joked about Treasury being the ‘pro death squad’ during pandemic, Covid inquiry told – UK politics live",https://www.theguardian.com/politics/live/2023/nov/06/suella-braverman-homelessness-covid-inquiry-conservatives-rishi-sunak-uk-politics-latest-news,"<p>Former PM’s deputy principal private secretary asked about entry in Sir Patrick Vallance’s diary about phrase reportedly used by Johnson</p><p><strong>Rishi Sunak</strong> has not accepted that Suella Braverman’s description of rough sleeping as a “lifestyle choice” was offensive – although he declined to use her language himself.</p><p>Asked this morning if the term was offensive, Sunak told broadcasters in a pooled interview:</p><p>I don’t want anyone to sleep rough on our streets.</p><p>That’s why the government is investing £2bn over the next few years to tackle homelessness and rough sleeping. I’m pleased that the number of people sleeping rough is down by a third since the peak, but of course there is more to do.</p> <a href=""https://www.theguardian.com/politics/live/2023/nov/06/suella-braverman-homelessness-covid-inquiry-conservatives-rishi-sunak-uk-politics-latest-news"">Continue reading...</a>",2023-11-06 13:37:27
Russia-Ukraine war live: Kyiv ‘deeply outraged’ over attack on Odesa’s National Art Museum,https://www.theguardian.com/world/live/2023/nov/06/russia-ukraine-war-live-medal-ceremony-deaths-of-ukraine-soldiers-spark-criminal-inquiry-missile-strike-on-black-sea-fleet,"<p>Ukraine calls on Unesco to condemn strike on art museum that left seven exhibitions damaged and a crater outside building</p><p><strong>The Court of Arbitration for Sport</strong><strong> has registered an appeal filed by the Russian Olympic Committee</strong><strong> against the decision by the International Olympic Committee </strong><strong>to suspend its membership, the independent judicial body said today.</strong></p><p>The challenge arose over the IOC’s suspension of the ROC following the ROC’s decision to include as its members some regional sports organisations which are under the authority of the National Olympic Committee (NOC) of Ukraine.</p><p>In its appeal to the CAS, the ROC requests that the challenged decision be set aside and that it be reinstated as a NOC recognised by the IOC, benefiting from all rights and prerogatives granted by the Olympic charter.</p><p>The CAS arbitration proceedings have commenced. In accordance with the code of sports-related arbitration (the CAS code), the arbitration rules governing CAS procedures, the parties are exchanging written submissions and the panel of arbitrators that will decide the matter is being constituted.</p><p>We are committed to a constructive analysis of the completed work and fruitful discussion on the next steps. The review will not be easy, but Ukraine’s team has been working smoothly and effectively for over 20 months of the large-scale war.</p><p>We clearly understand the critical need to maintain IMF’s support not only for further budget needs financing, but for the country’s development and its European future.</p> <a href=""https://www.theguardian.com/world/live/2023/nov/06/russia-ukraine-war-live-medal-ceremony-deaths-of-ukraine-soldiers-spark-criminal-inquiry-missile-strike-on-black-sea-fleet"">Continue reading...</a>",2023-11-06 13:34:19
"Israel-Hamas war live: more than 10,000 Palestinians killed in Gaza since 7 October, says health authority; Rafah crossing reopens",https://www.theguardian.com/world/live/2023/nov/06/israel-hamas-war-live-updates-jordan-airdrops-medical-supplies-gaza-blinken-turkey-push-contain-conflict,"<p>Over 4,000 children among the dead in Gaza; border between Egypt and Gaza reopens for limited evacuation of foreign nationals</p><ul><li><strong><a href=""https://www.theguardian.com/world/2023/nov/06/israel-and-hamas-at-war-what-we-know-on-day-31"">Israel and Hamas at war: what we know on day 31</a></strong></li><li><strong><a href=""https://www.theguardian.com/world/2023/nov/03/israel-and-palestine-a-complete-guide-to-the-crisis"">Israel and Palestine: a complete guide to the crisis</a></strong></li></ul><p>As US secretary of state Antony Blinken holds talks in Turkey in his bid to stop the conflict from spreading across the region, other US officials are also busy.</p><p>Vice President <strong>Kamala Harris</strong> is set to hold phone calls with foreign leaders on increasing the flow of aid into the territory on Monday, the White House said.</p><p><em>“Today there is north Gaza and south Gaza,” Rear Adm. Daniel Hagari told reporters, calling it a “significant stage” in Israel’s war against the Hamas militant group ruling the enclave.</em></p><p><em>Israeli media reported that troops are expected to enter Gaza City within 48 hours. Strong explosions were seen in northern Gaza after nightfall.</em></p> <a href=""https://www.theguardian.com/world/live/2023/nov/06/israel-hamas-war-live-updates-jordan-airdrops-medical-supplies-gaza-blinken-turkey-push-contain-conflict"">Continue reading...</a>",2023-11-06 13:25:01
UK construction output falls again; steel job cut fears at Scunthorpe – business live,https://www.theguardian.com/business/live/2023/nov/06/uk-car-sales-rise-supply-chain-problems-construction-housebuilding-business-live,"<p><a href=""https://www.theguardian.com/business/live/2023/nov/06/uk-car-sales-rise-supply-chain-problems-construction-housebuilding-business-live?filterKeyEvents=false&amp;page=with:block-6548b2bf8f08d1827a66d0f1#block-6548b2bf8f08d1827a66d0f1"">UK housebuilding decreased for the eleventh month running in October</a>, while 2,000 jobs could be threatened if British Steel replaces two blast furnaces in Scunthorpe.</p><ul><li><strong><a href=""https://www.theguardian.com/business/2023/nov/06/british-steel-scunthorpe-furnaces-jobs"">Full story: British Steel to replace Scunthorpe furnaces, putting jobs at risk</a></strong></li><li><strong><a href=""https://www.theguardian.com/news/audio/2023/nov/06/why-are-britains-new-homes-so-rubbish-today-in-focus-podcast"">Why are Britain’s new homes so rubbish?</a></strong></li></ul><p>The SMMT has lifted its forecast for car sales next year, but cut its forecast for the market share of electric cars.</p><p>It says:</p><p>Looking ahead to next year, the overall market outlook for 2024 is marginally more positive than previously anticipated, up 1.0% to 1.970 million units (a 4.4% rise on the 2023 outlook).</p><p>With an absence of consumer incentives and an overwhelming dependency on fleet registrations for growth, however, BEV market share outlook has been revised down slightly to an expected market share of 22.3%, despite registrations expected to reach 439,000 units, a 35.5% increase over 2023.</p> <a href=""https://www.theguardian.com/business/live/2023/nov/06/uk-car-sales-rise-supply-chain-problems-construction-housebuilding-business-live"">Continue reading...</a>",2023-11-06 13:20:10
Concerns over Europe economy as poll finds almost 23% of Spaniards have anxiety over cost of living – Europe live,https://www.theguardian.com/world/live/2023/nov/06/economy-concerns-spain-cost-of-living-crisis-anxiety-europe-latest-news,"<p>Respondents to survey for newspaper El País and radio network SER also saw inflation as a bigger global threat than war, energy instability, terrorism and the climate crisis</p><p>The downturn in eurozone business activity accelerated last month, a survey showed today, Reuters reported.</p><p>The final composite purchasing managers’ index (PMI) compiled by S&amp;P Global fell to 46.5 in October from 47.2 in September, its lowest reading since November 2020.</p><p>The outlook also looks very weak, with the new orders PMI falling to its lowest level since September 2012, excluding the early pandemic months, while exports were also particularly weak.</p> <a href=""https://www.theguardian.com/world/live/2023/nov/06/economy-concerns-spain-cost-of-living-crisis-anxiety-europe-latest-news"">Continue reading...</a>",2023-11-06 13:15:13
Breathless Pope Francis opts out of speech with ‘bit of a cold’,https://www.theguardian.com/world/2023/nov/06/breathless-pope-francis-opts-out-of-speech-with-bit-of-a-cold,"<p>Pontiff, 86, hands over rather than reads out prepared speech at Vatican meeting with European rabbis</p><p>Pope Francis cited his poor health as he declined to read a prepared speech at a meeting with European rabbis, and a Vatican spokesperson said he had a “bit of a cold”.</p><p>A visibly fatigued and breathless Francis, 86, told the rabbis during the audience in the Vatican’s Apostolic Palace that he was very happy to receive them, but added: “I’m not feeling well and so I prefer not to read the speech but give it to you, so you can take it with you.”</p> <a href=""https://www.theguardian.com/world/2023/nov/06/breathless-pope-francis-opts-out-of-speech-with-bit-of-a-cold"">Continue reading...</a>",2023-11-06 13:12:42
Firm recalls 13 tonnes of chicken nuggets in US after metal pieces found,https://www.theguardian.com/business/2023/nov/06/firm-recalls-13-tonnes-of-chicken-nuggets-in-us-after-metal-pieces-found,"<p>Tyson Foods makes decision over dinosaur-shaped Fun Nuggets ‘out of abundance of caution’</p><p>A US food company is recalling 13 and a half tonnes of dinosaur-shaped chicken nuggets after customers reported finding metal pieces in the product.</p><p>One individual in the US is <a href=""https://www.fsis.usda.gov/recalls-alerts/tyson-foods-inc--recalls-chicken-patty-product-due-possible-foreign-matter"">said to have suffered a minor mouth injury</a> after eating the Fun Nuggets.</p> <a href=""https://www.theguardian.com/business/2023/nov/06/firm-recalls-13-tonnes-of-chicken-nuggets-in-us-after-metal-pieces-found"">Continue reading...</a>",2023-11-06 13:10:31
"Rukmini Iyer’s quick and easy recipe for green linguine with kale, cannellini beans and feta | Quick and easy",https://www.theguardian.com/food/2023/nov/06/quick-and-easy-green-linguine-kale-recipe-cannellini-beans-feta-rukmini-iyer,"<p>A no-fuss upgrade on pesto pasta, smothered in a cream cheese sauce and scattered with cannellini beans, feta and lemon</p><p>Quick cook, quick carb: this is an excellent way to update pesto pasta, with sharp feta and lemon alongside the fresh basil pesto and cream cheese sauce. Cannellini beans and kale add texture, and they’re good for you, too, making this a winning dish all around. You can easily substitute the kale for swiss chard or spinach, if that’s what you have in the fridge, while haricot beans work well, too – use fresh pesto from the supermarket chiller counter to lift the flavour.</p> <a href=""https://www.theguardian.com/food/2023/nov/06/quick-and-easy-green-linguine-kale-recipe-cannellini-beans-feta-rukmini-iyer"">Continue reading...</a>",2023-11-06 13:00:38
"Paperboy Prince, the pro-love presidential candidate: ‘Mickey Mouse has more soul than my rivals’",https://www.theguardian.com/us-news/2023/nov/06/paperboy-prince-presidential-candidate-brooklyn,"<p>The artist and activist ‘from the African side of the moon’ is running an anti-war, pro-love campaign</p><p>At least fifteen other people are running for president in 2024, but none of them look like Brooklyn’s Paperboy Love Prince. When the artist, rapper, and non-binary activist filed to run in the New Hampshire primary last month, they showed up wearing a voluminous brocade jacket, gold pantaloons, and MSCHF’s Big Red Boots, Super Mario-esque shoes made by the designers behind Lil Nas X’s Satan sneakers.</p><p>They looked like a cartoon character. It’s all part of the act.</p> <a href=""https://www.theguardian.com/us-news/2023/nov/06/paperboy-prince-presidential-candidate-brooklyn"">Continue reading...</a>",2023-11-06 13:00:37
Kane the instrument of vengeance in one-sided rant against Dortmund | Andy Brassell,https://www.theguardian.com/football/blog/2023/nov/06/kane-the-instrument-of-vengeance-in-one-sided-rant-against-dortmund,"<p>Things aren’t perfect at Bayern but record-threatening striker’s Klassiker hat-trick suggests he can paper over any cracks</p><p>Tuesday night’s dramatic DfB Pokal defeat at third-tier Saarbrücken was bad news for Bayern Munich. It was even worse news for Borussia Dortmund. Thomas Müller’s Instagram apology to the club’s fans – including for a failure to properly acknowledge those who travelled at the end – felt significant and so it proved.</p><p>This was no real <em>Klassiker</em>. It was no real contest. It was a one-sided rant of a reply, an unloading of frustration and anger, aided and abetted by a BVB who were not even a pale imitation of a challenger. “We made it too easy for them,” lamented their sporting director Sebastian Kehl. It was hard to argue. His team conceded two goals inside the opening eight-and-a-half minutes that should never have been possible. With barely two minutes on the clock Nico Schlotterbeck allowing himself to be given the slip by Dayot Upamecano – amusingly, straight after the grinning former had engaged the latter in chat as they waited for the corner to come in, presumably in an attempt to break his concentration – who headed in. Then the home side left themselves open to a counter-attack – to Bayern of all teams, a gobbler of such opportunities – at the end of which Leroy Sané laid a gift-wrapped chance on for the waiting Harry Kane. In double quick time Dortmund were two down and the evening had reached a premature denouement.</p> <a href=""https://www.theguardian.com/football/blog/2023/nov/06/kane-the-instrument-of-vengeance-in-one-sided-rant-against-dortmund"">Continue reading...</a>",2023-11-06 12:57:22
